"","atm_id","horario","Total_fallas","score","riesgo_fallo"
"210","1082","Tarde",2,0.0134228187919463,"Bajo"
"211","1083","Madrugada",1,0.00671140939597315,"Muy bajo"
"212","1083","Tarde",1,0.00671140939597315,"Muy bajo"
"213","1085","Mañana",1,0.00671140939597315,"Muy bajo"
"214","1085","Tarde",4,0.0268456375838926,"Bajo"
"215","1086","Madrugada",2,0.0134228187919463,"Bajo"
"216","1086","Mañana",7,0.0469798657718121,"Bajo"
"217","1086","Noche",1,0.00671140939597315,"Muy bajo"
"218","1086","Tarde",4,0.0268456375838926,"Bajo"
"219","1087","Mañana",1,0.00671140939597315,"Muy bajo"
"220","1088","Mañana",1,0.00671140939597315,"Muy bajo"
"221","1088","Tarde",4,0.0268456375838926,"Bajo"
"222","1089","Madrugada",5,0.0335570469798658,"Bajo"
"223","1089","Mañana",1,0.00671140939597315,"Muy bajo"
"224","1089","Noche",1,0.00671140939597315,"Muy bajo"
"225","1089","Tarde",1,0.00671140939597315,"Muy bajo"
"226","109","Madrugada",3,0.0201342281879195,"Bajo"
"227","109","Noche",2,0.0134228187919463,"Bajo"
"228","1091","Tarde",1,0.00671140939597315,"Muy bajo"
"229","1092","Madrugada",5,0.0335570469798658,"Bajo"
"230","1092","Mañana",1,0.00671140939597315,"Muy bajo"
"231","1092","Noche",2,0.0134228187919463,"Bajo"
"232","1092","Tarde",3,0.0201342281879195,"Bajo"
"233","1094","Madrugada",2,0.0134228187919463,"Bajo"
"234","1094","Mañana",3,0.0201342281879195,"Bajo"
"235","1094","Noche",1,0.00671140939597315,"Muy bajo"
"236","1094","Tarde",2,0.0134228187919463,"Bajo"
"237","1095","Mañana",1,0.00671140939597315,"Muy bajo"
"238","1098","Noche",1,0.00671140939597315,"Muy bajo"
"239","1099","Tarde",1,0.00671140939597315,"Muy bajo"
"240","11","Madrugada",3,0.0201342281879195,"Bajo"
"241","11","Mañana",11,0.0738255033557047,"Moderado"
"242","11","Noche",6,0.0402684563758389,"Bajo"
